site,site_lat,site_long,Latin,species,swc_thr,swc_thr_peak,swc_shal_gd,swc_shal_gt,swc_shal_od,swc_shal_ot
CAN_TUR_P39_POS,42.70977778,-80.3574,Pinus strobus,Pst,0.062,0.1,0.093016775,0.093102667,0.113956473,0.113903735
CAN_TUR_P39_PRE,42.70977778,-80.3574,Pinus strobus,Pst,0.116,0.071,0.093016775,0.093102667,0.113956473,0.113903735
CAN_TUR_P74,42.70681111,-80.34831389,Pinus strobus,Pst,0.075,0.099,0.082299747,0.082399179,0.104836495,0.104807823
CZE_LIZ_LES,49.06668,13.67975,Picea abies,Pab,0.183,0.18,0.167400603,0.167451168,0.168990111,0.171982972
DEU_STE_4P5,53.1,13,Fagus sylvatica,Fsy,0.06,0.062,0.085866557,0.085815287,0.106706346,0.106696139
ESP_ALT_ARM,40.7769,-2.3283,Quercus faginea,Qfa,0.02,0.013,0.030531206,0.030693301,0.050987778,0.05082774
ESP_ALT_ARM,40.7769,-2.3283,Quercus ilex,Qil,0.023,0.024,0.030531206,0.030693301,0.050987778,0.05082774
ESP_ALT_ARM,40.7769,-2.3283,Pinus nigra,Pni,0.024,0.024,0.030531206,0.030693301,0.050987778,0.05082774
ESP_CAN,41.43098889,2.073611111,Arbutus unedo,Aun,0.138,0.14,0.138914132,0.138732802,0.157122179,0.157083662
ESP_CAN,41.43098889,2.073611111,Quercus ilex,Qil,0.153,0.169,0.138914132,0.138732802,0.157122179,0.157083662
ESP_CAN,41.43098889,2.073611111,Quercus pubescens,Qpu,0.141,0.143,0.138914132,0.138732802,0.157122179,0.157083662
ESP_CAN,41.43098889,2.073611111,Pinus halepensis,Pha,0.162,0.161,0.138914132,0.138732802,0.157122179,0.157083662
ESP_TIL_MIX,41.33262995,1.0144288,Pinus sylvestris,Psy,0.194,0.194,0.159588223,0.159499328,0.190509808,0.190642822
ESP_TIL_MIX,41.33262995,1.0144288,Quercus ilex,Qil,0.174,0.168,0.159588223,0.159499328,0.190509808,0.190642822
ESP_TIL_OAK,41.33262416,1.01409989,Quercus ilex,Qil,0.174,0.171,0.154399376,0.154076207,0.158218884,0.158135344
ESP_TIL_PIN,41.328113,1.006642,Pinus sylvestris,Psy,0.261,0.303,0.240682903,0.240247333,0.286401272,0.285666046
ESP_VAL_SOR,42.19605278,1.8135611,Pinus sylvestris,Psy,0.177,0.155,0.194519277,0.193088156,0.214654637,0.228799816
FRA_PUE,43.74138889,3.595833333,Quercus ilex,Qil,0.146,0.131,0.136429654,0.135467707,0.169652218,0.169303996
GBR_DEV_DRO,56.03333,-3.716667,Pinus sylvestris,Psy,0.106,0.128,0.095464468,0.095464556,0.097323698,0.096763759
GBR_GUI_ST1,57.266667,-4.816667,Pinus sylvestris,Psy,0.409,0.414,0.437928569,0.434578958,0.436010798,0.432860768
GUF_GUY_GUY,5.278772,-52.924863,Licania membranacea,Lme,0.116,0.116,0.204457419,0.205033275,0.204457419,0.205033275
GUF_GUY_GUY,5.278772,-52.924863,Goupia glabra,Ggl,0.164,0.164,0.204457419,0.205033275,0.204457419,0.205033275
GUF_GUY_ST2,5.281666667,-52.91222222,Oxandra asbeckii,Oas,0.146,0.146,0.173258119,0.173666495,0.173258119,0.173666495
GUF_GUY_ST2,5.281666667,-52.91222222,Vantanea sp,Vsp,0.129,0.129,0.173258119,0.173666495,0.173258119,0.173666495
GUF_GUY_ST2,5.281666667,-52.91222222,Goupia glabra,Ggl,0.118,0.118,0.173258119,0.173666495,0.173258119,0.173666495
GUF_GUY_ST2,5.281666667,-52.91222222,Sloanea sp,Ssp,0.112,0.112,0.173258119,0.173666495,0.173258119,0.173666495
IDN_PON_STE,-1.494,120.057,Cryptocarya laevigata,Cla,0.257,0.257,0.302886119,0.301810189,0.302886119,0.301810189
IDN_PON_STE,-1.494,120.057,Myrtaceae sp.,Msp,0.291,0.291,0.302886119,0.301810189,0.302886119,0.301810189
IDN_PON_STE,-1.494,120.057,Platea excelsa,Pex,0.29,0.29,0.302886119,0.301810189,0.302886119,0.301810189
IDN_PON_STE,-1.494,120.057,Palaquium luzoniense,Plu,0.289,0.289,0.302886119,0.301810189,0.302886119,0.301810189
IDN_PON_STE,-1.494,120.057,Vernonia arborea,Var,0.291,0.291,0.302886119,0.301810189,0.302886119,0.301810189
ITA_FEI_S17,46.69352,10.61287,Larix decidua,Lde,0.134,0.112,0.156408112,0.156136768,0.166753664,0.166577057
ITA_MAT_S21,46.74,10.69086111,Larix decidua,Lde,0.491,0.4,0.450743669,0.45041694,0.471370403,0.471216419
ITA_MAT_S21,46.74,10.69086111,Pinus cembra,Pce,0.429,0.406,0.450743669,0.45041694,0.471370403,0.471216419
ITA_MUN,46.67772,10.57808,Larix decidua,Lde,0.125,0.093,0.105230702,0.105473217,0.119955982,0.120111179
RUS_POG_VAR,56.36,92.95,Larix gmelinii,Lgm,0.128,0.153,0.146692987,0.14627288,0.108875405,0.108705712
RUS_POG_VAR,56.36,92.95,Larix sibirica Ledeb.,Lsi,0.122,0.122,0.146692987,0.14627288,0.108875405,0.108705712
RUS_POG_VAR,56.36,92.95,Pinus sibirica,Psi,0.121,0.121,0.146692987,0.14627288,0.108875405,0.108705712
SWE_NOR_ST3,60.086,17.48,Picea abies,Pab,0.174,0.216,0.182658067,0.182487047,0.214441936,0.214068623
SWE_NOR_ST5_REF,60.083,17.476,Picea abies,Pab,0.176,0.199,0.16987892,0.169634786,0.17660664,0.176428268
SWE_NOR_ST5_REF,60.083,17.476,Pinus sylvestris,Psy,0.192,0.199,0.16987892,0.169634786,0.17660664,0.176428268
THA_KHU,15.273,103.081,Hevea brasiliensis,Hbr,0.174,0.174,0.127195952,0.126927184,0.127195952,0.126927184
USA_DUK_HAR,36.978175,-79.09419083,Carya tomentosa,Cto,0.194,0.301,0.275190393,0.269960044,0.353951257,0.353034873
USA_DUK_HAR,36.978175,-79.09419083,Quercus alba,Qal,0.283,0.275,0.275190393,0.269960044,0.353951257,0.353034873
USA_DUK_HAR,36.978175,-79.09419083,Quercus michauxii,Qmi,0.177,0.269,0.275190393,0.269960044,0.353951257,0.353034873
USA_DUK_HAR,36.978175,-79.09419083,Quercus phellos,Qph,0.2,0.301,0.275190393,0.269960044,0.353951257,0.353034873
USA_HIL_HF1_POS,36.2173212,-78.86417865,Liriodendron tulipifera,Ltu,0.066,0.079,0.110946518,0.108720572,0.142685395,0.14168089
USA_HIL_HF2,36.21747661,-78.86399373,Liquidambar styraciflua,Lst,0.066,0.087,0.110946518,0.108720572,0.142685395,0.14168089
USA_HIL_HF2,36.21747661,-78.86399373,Quercus spp.,Qsp,0.107,0.113,0.110946518,0.108720572,0.142685395,0.14168089
USA_HUY_LIN_NON,42.52753056,-74.15720278,Picea glauca,Pgl,0.267,0.298,0.303925628,0.305386538,0.294919528,0.293301716
USA_INM,39.323228,-86.413239,Acer saccharum,Asa,0.25,0.348,0.367962563,0.399347945,0.366606607,0.403798503
USA_INM,39.323228,-86.413239,Liriodendron tulipifera,Ltu,0.365,0.32,0.367962563,0.399347945,0.366606607,0.403798503
USA_INM,39.323228,-86.413239,Quercus alba,Qal,0.388,0.319,0.367962563,0.399347945,0.366606607,0.403798503
USA_INM,39.323228,-86.413239,Sassafras albidum,Sal,0.403,0.315,0.367962563,0.399347945,0.366606607,0.403798503
USA_MOR_SF,39.323011,-86.413321,Liriodendron tulipifera,Ltu,0.159,0.159,0.217384178,0.21560082,0.217384178,0.21560082
USA_PAR_FER,35.80311111,-76.66791667,Pinus taeda,Pta,0.107,0.093,0.167221378,0.167536832,0.230484412,0.226459062
USA_PJS_P04_AMB,34.38638889,-106.5294444,Pinus edulis,Ped,0.123,0.112,0.058760903,0.059716029,0.063270883,0.064100026
USA_PJS_P04_AMB,34.38638889,-106.5294444,Juniperus monosperma,Jmo,0.057,0.054,0.058760903,0.059716029,0.063270883,0.064100026
USA_PJS_P12_AMB,34.38638889,-106.5294444,Pinus edulis,Ped,0.145,0.153,0.062951469,0.064416719,0.069393598,0.070605018
USA_SIL_OAK_1PR,39.91563056,-74.59555556,Pinus rigida,Pri,0.048,0.055,0.071150505,0.071754962,0.07954843,0.079895475
USA_SIL_OAK_1PR,39.91563056,-74.59555556,Quercus montana,Qmo,0.048,0.049,0.071150505,0.071754962,0.07954843,0.079895475
USA_SIL_OAK_2PR,39.91563056,-74.59555556,Quercus velutina,Qve,0.051,0.051,0.071150505,0.071754962,0.07954843,0.079895475
USA_SIL_OAK_2PR,39.91563056,-74.59555556,Quercus coccinea,Qco,0.057,0.056,0.071150505,0.071754962,0.07954843,0.079895475
USA_SIL_OAK_2PR,39.91563056,-74.59555556,Quercus montana,Qmo,0.051,0.052,0.071150505,0.071754962,0.07954843,0.079895475
USA_SYL_HL2,46.24201667,-89.34765,Tsuga canadensis,Tca,0.135,0.148,0.258356353,0.25877594,0.275798053,0.275806844
USA_TNO,35.966,-84.281866,Acer rubrum,Aru,0.105,0.111,0.136370744,0.136561776,0.152359817,0.152273716
USA_TNO,35.966,-84.281866,Liriodendron tulipifera,Ltu,0.077,0.077,0.136370744,0.136561776,0.152359817,0.152273716
USA_TNP,35.96041,-84.287933,Cornus florida,Cfl,0.144,0.172,0.19418003,0.200877932,0.210695312,0.218673383
USA_TNP,35.96041,-84.287933,Fagus sylvatica,Fsy,0.235,0.241,0.19418003,0.200877932,0.210695312,0.218673383
USA_TNP,35.96041,-84.287933,Pinus taeda,Pta,0.167,0.168,0.19418003,0.200877932,0.210695312,0.218673383
USA_TNP,35.96041,-84.287933,Acer rubrum,Aru,0.148,0.15,0.19418003,0.200877932,0.210695312,0.218673383
USA_TNP,35.96041,-84.287933,Liriodendron tulipifera,Ltu,0.151,0.151,0.19418003,0.200877932,0.210695312,0.218673383
USA_TNY,35.687635,-83.501202,Acer rubrum,Aru,0.241,0.244,0.2305974,0.23167016,0.237948748,0.235277458
USA_TNY,35.687635,-83.501202,Liriodendron tulipifera,Ltu,0.209,0.211,0.2305974,0.23167016,0.237948748,0.235277458
USA_TNY,35.687635,-83.501202,Prunus serotina,Pse,0.211,0.211,0.2305974,0.23167016,0.237948748,0.235277458
USA_UMB_CON,45.55972222,-84.71333333,Populus grandidentata,Pgr,0.069,0.069,0.092955326,0.092158533,0.105602975,0.104860231
USA_UMB_GIR,45.5625,-84.6975,Acer rubrum,Aru,0.096,0.101,0.096146796,0.096391033,0.112226199,0.112196664
USA_UMB_GIR,45.5625,-84.6975,Fagus grandifolia,Fgr,0.072,0.067,0.096146796,0.096391033,0.112226199,0.112196664
USA_UMB_GIR,45.5625,-84.6975,Quercus rubra,Qru,0.081,0.084,0.096146796,0.096391033,0.112226199,0.112196664
USA_WIL_WC1,45.81305556,-90.08666667,Fraxinus pennsylvanica,Fpe,0.319,0.295,0.316546249,0.316351072,0.314804274,0.313956464
USA_WIL_WC1,45.81305556,-90.08666667,Quercus rubra,Qru,0.319,0.324,0.316546249,0.316351072,0.314804274,0.313956464
USA_WIL_WC1,45.81305556,-90.08666667,Tilia americana,Tam,0.316,0.319,0.316546249,0.316351072,0.314804274,0.313956464
USA_WVF,39.058867,-79.690668,Acer rubrum,Aru,0.142,0.143,0.176084314,0.175863301,0.19389338,0.193984635
USA_WVF,39.058867,-79.690668,Acer saccharum,Asa,0.149,0.156,0.176084314,0.175863301,0.19389338,0.193984635
USA_WVF,39.058867,-79.690668,Prunus serotina,Pse,0.147,0.144,0.176084314,0.175863301,0.19389338,0.193984635
